;;;;;
bg;Bulgarian;български;;;
cs;Czech;čeština;;;
da;Danish;dansk;;;
de;German;Deutsch;;;
el;Greek;ελληνικά;;;
en;English;English;;;
es;Spanish;Español;;;
et;Estonian;eesti;;;
fi;Finnish;suomi;;;
fo;Faroese;føroyskt;;;
fr;French;Français;;;
hr;Croatian;hrvatski;;;
hu;Hungarian;magyar;;;
is;Icelandic;íslenska;;;
it;Italian;Italiano;;;
ja;Japanese;日本語;;;
lt;Lithuanian;lietuvių;;;
lv;Latvian;latviešu;;;
nl;Dutch;Nederlands;;;
no;Norwegian;norsk;;;
pl;Polish;Polski;;;
pt;Portuguese;Português;;;
ro;Romanian;română;;;
ru;Russian;Русский;;;
sk;Slovak;slovenčina;;;
sl;Slovenian;slovenščina;;;
sq;Albanian;shqip;;;
sr;Serbian;srpski;;;
sv;Swedish;svenska;;;
tr;Turkish;Türkçe;;;
uk;Ukrainian;українська;;;
zh;Chinese;中文;;;
